RATE DATE,SELLING TT,USD/MUR,MCB Spread
13-Jan-2020 8:42,36.92,35.10,5.18%
14-Jan-2020 8:39,36.9,35.45,4.09%
15-Jan-2020 8:51,36.9,35.26,4.65%
16-Jan-2020 8:39,36.85,35.11,4.97%
17-Jan-2020 8:40,36.9,35.12,5.08%
20-Jan-2020 8:44,36.98,35.20,5.06%
21-Jan-2020 8:36,36.98,35.30,4.77%
22-Jan-2020 8:48,37.02,35.27,4.95%
23-Jan-2020 8:48,37.02,35.63,3.90%
24-Jan-2020 8:56,37.1,35.38,4.86%
27-Jan-2020 8:50,37.15,35.65,4.21%
28-Jan-2020 8:58,37.15,35.48,4.71%
29-Jan-2020 8:44,37.16,35.49,4.70%
30-Jan-2020 8:40,37.16,35.54,4.57%
31-Jan-2020 8:44,37.16,35.43,4.88%
03-Feb-2020 8:46,37.06,35.44,4.57%
04-Feb-2020 8:45,37.13,35.39,4.91%
05-Feb-2020 8:42,37.2,35.54,4.68%
06-Feb-2020 8:40,37.3,35.54,4.96%
07-Feb-2020 8:52,37.33,35.31,5.73%
10-Feb-2020 8:47,37.4,35.78,4.54%
11-Feb-2020 8:46,37.5,35.68,5.10%
12-Feb-2020 8:33,37.5,35.73,4.97%
13-Feb-2020 8:40,37.6,36.20,3.87%
14-Feb-2020 8:40,37.7,35.92,4.97%
17-Feb-2020 8:40,37.7,36.50,3.29%
18-Feb-2020 8:52,37.7,35.86,5.13%
19-Feb-2020 8:44,37.78,36.45,3.65%
20-Feb-2020 8:45,37.79,36.26,4.21%
24-Feb-2020 8:54,37.79,36.12,4.62%
25-Feb-2020 8:45,37.79,36.07,4.77%
26-Feb-2020 8:47,37.79,36.07,4.78%
27-Feb-2020 8:46,37.79,36.04,4.86%
28-Feb-2020 8:45,37.7,36.34,3.76%
02-Mar-2020 8:44,37.6,35.95,4.59%
03-Mar-2020 8:40,37.5,36.11,3.85%
04-Mar-2020 8:39,37.5,35.98,4.22%
05-Mar-2020 8:48,37.6,35.92,4.69%
06-Mar-2020 8:49,37.45,35.72,4.85%
09-Mar-2020 8:49,37.25,35.99,3.50%
10-Mar-2020 8:42,37.25,36.02,3.40%
10-Mar-2020 15:33,38.1,36.02,5.76%
11-Mar-2020 8:52,38.1,37.15,2.56%
13-Mar-2020 8:39,38.6,36.90,4.61%
16-Mar-2020 8:46,38.9,37.11,4.83%
17-Mar-2020 8:44,38.9,37.79,2.93%
18-Mar-2020 8:45,39.7,37.93,4.67%
19-Mar-2020 9:05,39.3,37.45,4.95%
20-Mar-2020 8:59,39.3,38.03,3.34%
23-Mar-2020 8:58,39.65,37.81,4.88%
24-Mar-2020 8:52,39.65,38.02,4.29%
26-Mar-2020 8:37,39.6,37.79,4.79%
27-Mar-2020 8:41,39.5,38.15,3.53%
30-Mar-2020 8:35,39.5,37.74,4.66%
